ingredient,form,tier,bioavailability_note,use_case,source
Tremella Mushroom,Standardised fruiting‑body polysaccharide extracts,Superior,Fruiting-body extracts concentrate active polysaccharides (TFP) and avoid grain starch; these β-glucans drive the health effects,Functional/medicinal mushroom rich in polysaccharides,science_research.xlsx (internal evidence file - needs_citation)
Tremella Mushroom,Dried fruiting‑body powder,Acceptable,Fruiting-body extracts concentrate active polysaccharides (TFP) and avoid grain starch; these β-glucans drive the health effects,Functional/medicinal mushroom rich in polysaccharides,science_research.xlsx (internal evidence file - needs_citation)
Tremella Mushroom,generic Tremella polysaccharide extracts used at gram‑level doses based on traditional food use,Acceptable,Fruiting-body extracts concentrate active polysaccharides (TFP) and avoid grain starch; these β-glucans drive the health effects,Functional/medicinal mushroom rich in polysaccharides,science_research.xlsx (internal evidence file - needs_citation)
Tremella Mushroom,"Uncharacterised “mushroom complex” powders with tiny Tremella content,",Reject,Fruiting-body extracts concentrate active polysaccharides (TFP) and avoid grain starch; these β-glucans drive the health effects,Functional/medicinal mushroom rich in polysaccharides,science_research.xlsx (internal evidence file - needs_citation)
Tremella Mushroom,extracts with unknown polysaccharide profile and no safety data,Reject,Fruiting-body extracts concentrate active polysaccharides (TFP) and avoid grain starch; these β-glucans drive the health effects,Functional/medicinal mushroom rich in polysaccharides,science_research.xlsx (internal evidence file - needs_citation)
Pumpkin Seed Oil,"Virgin (unrefined, cold-pressed) PSO retains natural antioxidants (carotenoids, tocopherols, phytosterols)",Superior,High-phytosterol PSO used in RCTs; modest improvements in BPH symptoms and hair count,Cold-pressed vegetable seed oil rich in polyunsaturated fatty acids (omega-3/6) and phytosterols,science_research.xlsx (internal evidence file - needs_citation)
Pumpkin Seed Oil,Pure refined pumpkin seed oil (deodorized),Acceptable,High-phytosterol PSO used in RCTs; modest improvements in BPH symptoms and hair count,Cold-pressed vegetable seed oil rich in polyunsaturated fatty acids (omega-3/6) and phytosterols,science_research.xlsx (internal evidence file - needs_citation)
Pumpkin Seed Oil,Oils diluted/adulterated with cheaper oils (e.g. sunflower),Reject,High-phytosterol PSO used in RCTs; modest improvements in BPH symptoms and hair count,Cold-pressed vegetable seed oil rich in polyunsaturated fatty acids (omega-3/6) and phytosterols,science_research.xlsx (internal evidence file - needs_citation)
Pumpkin Seed Oil,synthetic additives. High-value PSO is often adulterated,Reject,High-phytosterol PSO used in RCTs; modest improvements in BPH symptoms and hair count,Cold-pressed vegetable seed oil rich in polyunsaturated fatty acids (omega-3/6) and phytosterols,science_research.xlsx (internal evidence file - needs_citation)
Turmeric (Curcumin),"curcumin with piperine, liposomal",Superior,Formulations reaching therapeutic plasma levels at 500–1000 mg/day show consistent OA pain relief with acceptable safety in RCTs.,Polyphenolic spice extract with anti‑inflammatory and antioxidant properties,science_research.xlsx (internal evidence file - needs_citation)
Turmeric (Curcumin),"nanoparticle forms, Organic, chemically-free extracts are superior",Superior,Formulations reaching therapeutic plasma levels at 500–1000 mg/day show consistent OA pain relief with acceptable safety in RCTs.,Polyphenolic spice extract with anti‑inflammatory and antioxidant properties,science_research.xlsx (internal evidence file - needs_citation)
Turmeric (Curcumin),95% curcuminoid extracts,Acceptable,Formulations reaching therapeutic plasma levels at 500–1000 mg/day show consistent OA pain relief with acceptable safety in RCTs.,Polyphenolic spice extract with anti‑inflammatory and antioxidant properties,science_research.xlsx (internal evidence file - needs_citation)
Turmeric (Curcumin),turmeric oleoresin,Acceptable,Formulations reaching therapeutic plasma levels at 500–1000 mg/day show consistent OA pain relief with acceptable safety in RCTs.,Polyphenolic spice extract with anti‑inflammatory and antioxidant properties,science_research.xlsx (internal evidence file - needs_citation)
Turmeric (Curcumin),Turmeric diluted with fillers,Reject,Formulations reaching therapeutic plasma levels at 500–1000 mg/day show consistent OA pain relief with acceptable safety in RCTs.,Polyphenolic spice extract with anti‑inflammatory and antioxidant properties,science_research.xlsx (internal evidence file - needs_citation)
Turmeric (Curcumin),cheap solvent extracts with residues,Reject,Formulations reaching therapeutic plasma levels at 500–1000 mg/day show consistent OA pain relief with acceptable safety in RCTs.,Polyphenolic spice extract with anti‑inflammatory and antioxidant properties,science_research.xlsx (internal evidence file - needs_citation)
Turmeric (Curcumin),risk of lead chromate adulteration for color,Reject,Formulations reaching therapeutic plasma levels at 500–1000 mg/day show consistent OA pain relief with acceptable safety in RCTs.,Polyphenolic spice extract with anti‑inflammatory and antioxidant properties,science_research.xlsx (internal evidence file - needs_citation)
Fish Oil (High EPA),Re-esterified triglyceride (rTG),Superior,"High-purity, low-oxidation oils preserve activity; TG form absorbs better; tested EPA levels + antioxidants help prevent rancidity",Marine omega-3 fatty acid oil from fish (often sardines/anchovies),science_research.xlsx (internal evidence file - needs_citation)
Fish Oil (High EPA),natural triglyceride form,Superior,"High-purity, low-oxidation oils preserve activity; TG form absorbs better; tested EPA levels + antioxidants help prevent rancidity",Marine omega-3 fatty acid oil from fish (often sardines/anchovies),science_research.xlsx (internal evidence file - needs_citation)
Fish Oil (High EPA),Standard fish‑oil capsules,Acceptable,"High-purity, low-oxidation oils preserve activity; TG form absorbs better; tested EPA levels + antioxidants help prevent rancidity",Marine omega-3 fatty acid oil from fish (often sardines/anchovies),science_research.xlsx (internal evidence file - needs_citation)
Fish Oil (High EPA),mixed EPA/DHA concentrates,Acceptable,"High-purity, low-oxidation oils preserve activity; TG form absorbs better; tested EPA levels + antioxidants help prevent rancidity",Marine omega-3 fatty acid oil from fish (often sardines/anchovies),science_research.xlsx (internal evidence file - needs_citation)
Fish Oil (High EPA),Low EPA capsules,Reject,"High-purity, low-oxidation oils preserve activity; TG form absorbs better; tested EPA levels + antioxidants help prevent rancidity",Marine omega-3 fatty acid oil from fish (often sardines/anchovies),science_research.xlsx (internal evidence file - needs_citation)
Fish Oil (High EPA),oxidised oils (high TOTOX),Reject,"High-purity, low-oxidation oils preserve activity; TG form absorbs better; tested EPA levels + antioxidants help prevent rancidity",Marine omega-3 fatty acid oil from fish (often sardines/anchovies),science_research.xlsx (internal evidence file - needs_citation)
Fish Oil (High EPA),mislabelled EPA/DHA content,Reject,"High-purity, low-oxidation oils preserve activity; TG form absorbs better; tested EPA levels + antioxidants help prevent rancidity",Marine omega-3 fatty acid oil from fish (often sardines/anchovies),science_research.xlsx (internal evidence file - needs_citation)
Spirulina,"Products using pure, lab‑cultivated Spirulina",Superior,Pure spirulina ensures high nutrient density (50–70% protein) and avoids hepatotoxic microcystins,"Freshwater cyanobacteria, a superfood algae.",science_research.xlsx (internal evidence file - needs_citation)
Spirulina,"Spirulina powders/tablets providing 1–4 g/day used in lipid, glucose and blood‑pressure RCTs",Acceptable,Pure spirulina ensures high nutrient density (50–70% protein) and avoids hepatotoxic microcystins,"Freshwater cyanobacteria, a superfood algae.",science_research.xlsx (internal evidence file - needs_citation)
Spirulina,"Contaminated spirulina (microcystins, heavy metals)",Reject,Pure spirulina ensures high nutrient density (50–70% protein) and avoids hepatotoxic microcystins,"Freshwater cyanobacteria, a superfood algae.",science_research.xlsx (internal evidence file - needs_citation)
Spirulina,fillers like maltodextrin,Reject,Pure spirulina ensures high nutrient density (50–70% protein) and avoids hepatotoxic microcystins,"Freshwater cyanobacteria, a superfood algae.",science_research.xlsx (internal evidence file - needs_citation)
Spirulina,low-nutrient hydrolysates,Reject,Pure spirulina ensures high nutrient density (50–70% protein) and avoids hepatotoxic microcystins,"Freshwater cyanobacteria, a superfood algae.",science_research.xlsx (internal evidence file - needs_citation)
Cod Liver Oil,Purified cod liver oil with adjusted/ standardised vitamin A and D levels,Superior,"Preserves natural vitamin A/D & omega-3; gentle processing (vacuum distillation) removes toxins, retains EPA/DHA","Animal‑derived oil (fish liver) rich in preformed vitamin A, vitamin D3, and long‑chain omega‑3 fatty acids.",science_research.xlsx (internal evidence file - needs_citation)
Cod Liver Oil,"Traditional cod liver oils providing around 5 ml/day with ~10 µg (400 IU) vitamin D3, 250 µg vitamin A and ~1.2 g EPA+DHA",Acceptable,"Preserves natural vitamin A/D & omega-3; gentle processing (vacuum distillation) removes toxins, retains EPA/DHA","Animal‑derived oil (fish liver) rich in preformed vitamin A, vitamin D3, and long‑chain omega‑3 fatty acids.",science_research.xlsx (internal evidence file - needs_citation)
Cod Liver Oil,Oxidized/rancid oils,Reject,"Preserves natural vitamin A/D & omega-3; gentle processing (vacuum distillation) removes toxins, retains EPA/DHA","Animal‑derived oil (fish liver) rich in preformed vitamin A, vitamin D3, and long‑chain omega‑3 fatty acids.",science_research.xlsx (internal evidence file - needs_citation)
Cod Liver Oil,highly refined oils devoid of natural vitamins,Reject,"Preserves natural vitamin A/D & omega-3; gentle processing (vacuum distillation) removes toxins, retains EPA/DHA","Animal‑derived oil (fish liver) rich in preformed vitamin A, vitamin D3, and long‑chain omega‑3 fatty acids.",science_research.xlsx (internal evidence file - needs_citation)
Krill Oil,100% pure krill oil (phospholipid form) from Antarctic krill,Superior,Dosed krill oil improves LDL-C & TG; phospholipid-bound EPA/DHA absorbs well at lower doses than many fish oils,Marine omega‑3 oil rich in EPA/DHA,science_research.xlsx (internal evidence file - needs_citation)
Krill Oil,Refined krill oil concentrates with standardized EPA/DHA content,Acceptable,Dosed krill oil improves LDL-C & TG; phospholipid-bound EPA/DHA absorbs well at lower doses than many fish oils,Marine omega‑3 oil rich in EPA/DHA,science_research.xlsx (internal evidence file - needs_citation)
Krill Oil,Low-quality krill oil with low astaxanthin,Reject,Dosed krill oil improves LDL-C & TG; phospholipid-bound EPA/DHA absorbs well at lower doses than many fish oils,Marine omega‑3 oil rich in EPA/DHA,science_research.xlsx (internal evidence file - needs_citation)
Krill Oil,oxidized odor,Reject,Dosed krill oil improves LDL-C & TG; phospholipid-bound EPA/DHA absorbs well at lower doses than many fish oils,Marine omega‑3 oil rich in EPA/DHA,science_research.xlsx (internal evidence file - needs_citation)
Krill Oil,inferior “krill meal” supplements (less oil),Reject,Dosed krill oil improves LDL-C & TG; phospholipid-bound EPA/DHA absorbs well at lower doses than many fish oils,Marine omega‑3 oil rich in EPA/DHA,science_research.xlsx (internal evidence file - needs_citation)
Matcha Powder,"Japanese ceremonial‑grade matcha with verified origin, higher L‑theanine and catechins",Superior,Shade-grown tea boosts L-theanine/chlorophyll and antioxidants; fine ceramic milling preserves volatiles; bright green shows freshness,"Japanese green tea (Camellia sinensis) leaf- high in polyphenols, L-theanine, caffeine",science_research.xlsx (internal evidence file - needs_citation)
Matcha Powder,Premium-grade culinary matcha for cooking (less delicate but still whole-leaf),Acceptable,Shade-grown tea boosts L-theanine/chlorophyll and antioxidants; fine ceramic milling preserves volatiles; bright green shows freshness,"Japanese green tea (Camellia sinensis) leaf- high in polyphenols, L-theanine, caffeine",science_research.xlsx (internal evidence file - needs_citation)
Matcha Powder,"Generic green tea powders labelled “matcha” may have low L-theanine/catechins, contamination,",Reject,Shade-grown tea boosts L-theanine/chlorophyll and antioxidants; fine ceramic milling preserves volatiles; bright green shows freshness,"Japanese green tea (Camellia sinensis) leaf- high in polyphenols, L-theanine, caffeine",science_research.xlsx (internal evidence file - needs_citation)
Matcha Powder,added colourants,Reject,Shade-grown tea boosts L-theanine/chlorophyll and antioxidants; fine ceramic milling preserves volatiles; bright green shows freshness,"Japanese green tea (Camellia sinensis) leaf- high in polyphenols, L-theanine, caffeine",science_research.xlsx (internal evidence file - needs_citation)
Moringa,Organic leaf powder/extract capsules,Superior,10x lower contaminants; higher bioavailability,Leafy green superfood,science_research.xlsx (internal evidence file - needs_citation)
Moringa,leaf powder,Acceptable,10x lower contaminants; higher bioavailability,Leafy green superfood,science_research.xlsx (internal evidence file - needs_citation)
Moringa,"Stem/seed-heavy blends,r non‑oleifera species",Reject,10x lower contaminants; higher bioavailability,Leafy green superfood,science_research.xlsx (internal evidence file - needs_citation)
Moringa,"products bulked with fillers (maltodextrin, grain flours)",Reject,10x lower contaminants; higher bioavailability,Leafy green superfood,science_research.xlsx (internal evidence file - needs_citation)
Black Seed Oil (Nigella),"Cold‑pressed, standardised N. sativa seed oil with defined thymoquinone content",Superior,Cold pressing preserves thymoquinone (main active) and polyphenols,Herbal fixed oil rich in thymoquinone and other bioactives,science_research.xlsx (internal evidence file - needs_citation)
Black Seed Oil (Nigella),Filtered cold-pressed oil,Acceptable,Cold pressing preserves thymoquinone (main active) and polyphenols,Herbal fixed oil rich in thymoquinone and other bioactives,science_research.xlsx (internal evidence file - needs_citation)
Black Seed Oil (Nigella),"Refined/deodorized oil,",Reject,Cold pressing preserves thymoquinone (main active) and polyphenols,Herbal fixed oil rich in thymoquinone and other bioactives,science_research.xlsx (internal evidence file - needs_citation)
Black Seed Oil (Nigella),"oils adulterated with cheaper seed oils (sunflower, etc.)",Reject,Cold pressing preserves thymoquinone (main active) and polyphenols,Herbal fixed oil rich in thymoquinone and other bioactives,science_research.xlsx (internal evidence file - needs_citation)
Berberine,Berberine HCl (chloride salt) of high purity,Superior,"~1–1.5 g/day berberine improves HbA1c, fasting glucose, lipids, some inflammation in T2D/metabolic syndrome; GI side effects manageable",Botanical alkaloid - extracted from plants like Berberis spp.,science_research.xlsx (internal evidence file - needs_citation)
Berberine,Standard berberine HCl supplement (purity >90%),Acceptable,"~1–1.5 g/day berberine improves HbA1c, fasting glucose, lipids, some inflammation in T2D/metabolic syndrome; GI side effects manageable",Botanical alkaloid - extracted from plants like Berberis spp.,science_research.xlsx (internal evidence file - needs_citation)
Berberine,"Under-dosed (<300 mg), unstandardised herbal mixes,",Reject,"~1–1.5 g/day berberine improves HbA1c, fasting glucose, lipids, some inflammation in T2D/metabolic syndrome; GI side effects manageable",Botanical alkaloid - extracted from plants like Berberis spp.,science_research.xlsx (internal evidence file - needs_citation)
Berberine,products ignoring berberine drug–drug interactions,Reject,"~1–1.5 g/day berberine improves HbA1c, fasting glucose, lipids, some inflammation in T2D/metabolic syndrome; GI side effects manageable",Botanical alkaloid - extracted from plants like Berberis spp.,science_research.xlsx (internal evidence file - needs_citation)
Oregano Oil,Wild oregano (Origanum vulgare) essential oil standardized for high carvacrol/thymol content,Superior,Carvacrol-rich oregano oil antimicrobial in vitro; proper dilution and dosing reduce mucosal irritation and toxicity risk,Herbal essential oil,science_research.xlsx (internal evidence file - needs_citation)
Oregano Oil,Regular oregano oil supplements (capsules,Acceptable,Carvacrol-rich oregano oil antimicrobial in vitro; proper dilution and dosing reduce mucosal irritation and toxicity risk,Herbal essential oil,science_research.xlsx (internal evidence file - needs_citation)
Oregano Oil,liquid),Acceptable,Carvacrol-rich oregano oil antimicrobial in vitro; proper dilution and dosing reduce mucosal irritation and toxicity risk,Herbal essential oil,science_research.xlsx (internal evidence file - needs_citation)
Oregano Oil,"Undiluted essential oil sold for oral use, products with unknown species/chemotype",Reject,Carvacrol-rich oregano oil antimicrobial in vitro; proper dilution and dosing reduce mucosal irritation and toxicity risk,Herbal essential oil,science_research.xlsx (internal evidence file - needs_citation)
Shilajit,Purified high-altitude shilajit resin (sun-dried) with >70% fulvic acid,Superior,High fulvic/humic acid content enhances nutrient absorption and energy metabolism,Ayurvedic herbomineral resin (rich in fulvic acid and minerals),science_research.xlsx (internal evidence file - needs_citation)
Shilajit,Capsules/tablets providing ~250 mg Shilajit twice daily (500 mg/day),Acceptable,High fulvic/humic acid content enhances nutrient absorption and energy metabolism,Ayurvedic herbomineral resin (rich in fulvic acid and minerals),science_research.xlsx (internal evidence file - needs_citation)
Shilajit,"Raw/unprocessed shilajit (contains heavy metals, microbes)",Reject,High fulvic/humic acid content enhances nutrient absorption and energy metabolism,Ayurvedic herbomineral resin (rich in fulvic acid and minerals),science_research.xlsx (internal evidence file - needs_citation)
Shilajit,adulterated extracts,Reject,High fulvic/humic acid content enhances nutrient absorption and energy metabolism,Ayurvedic herbomineral resin (rich in fulvic acid and minerals),science_research.xlsx (internal evidence file - needs_citation)
Selenium,Selenomethionine,Superior,Selenomethionine is absorbed ~90% (versus ~50% for selenite),Essential trace mineral (inorganic and organic selenoprotein constituent),science_research.xlsx (internal evidence file - needs_citation)
Selenium,high‑selenium yeast,Superior,Selenomethionine is absorbed ~90% (versus ~50% for selenite),Essential trace mineral (inorganic and organic selenoprotein constituent),science_research.xlsx (internal evidence file - needs_citation)
Selenium,Sodium selenite/selenate,Acceptable,Selenomethionine is absorbed ~90% (versus ~50% for selenite),Essential trace mineral (inorganic and organic selenoprotein constituent),science_research.xlsx (internal evidence file - needs_citation)
Selenium,selenium‑enriched yeast,Acceptable,Selenomethionine is absorbed ~90% (versus ~50% for selenite),Essential trace mineral (inorganic and organic selenoprotein constituent),science_research.xlsx (internal evidence file - needs_citation)
Selenium,High‑dose 200–400 µg single selenium tablets promoted for cancer prevention,Reject,Selenomethionine is absorbed ~90% (versus ~50% for selenite),Essential trace mineral (inorganic and organic selenoprotein constituent),science_research.xlsx (internal evidence file - needs_citation)
Echinacea,Standardized extracts of E. purpurea,Superior,Standardised E. purpurea extracts modestly reduce cold incidence/duration; safe as placebo in large RCTs,Herbal immunomodulator (E. purpurea),science_research.xlsx (internal evidence file - needs_citation)
Echinacea,E. angustifolia with defined alkamide/caffeic acid content,Superior,Standardised E. purpurea extracts modestly reduce cold incidence/duration; safe as placebo in large RCTs,Herbal immunomodulator (E. purpurea),science_research.xlsx (internal evidence file - needs_citation)
Echinacea,Whole-herb capsules,Acceptable,Standardised E. purpurea extracts modestly reduce cold incidence/duration; safe as placebo in large RCTs,Herbal immunomodulator (E. purpurea),science_research.xlsx (internal evidence file - needs_citation)
Echinacea,tinctures of Echinacea purpurea/pallida,Acceptable,Standardised E. purpurea extracts modestly reduce cold incidence/duration; safe as placebo in large RCTs,Herbal immunomodulator (E. purpurea),science_research.xlsx (internal evidence file - needs_citation)
Echinacea,Products using wrong species,Reject,Standardised E. purpurea extracts modestly reduce cold incidence/duration; safe as placebo in large RCTs,Herbal immunomodulator (E. purpurea),science_research.xlsx (internal evidence file - needs_citation)
Echinacea,"parts,",Reject,Standardised E. purpurea extracts modestly reduce cold incidence/duration; safe as placebo in large RCTs,Herbal immunomodulator (E. purpurea),science_research.xlsx (internal evidence file - needs_citation)
Echinacea,blends with inert fillers,Reject,Standardised E. purpurea extracts modestly reduce cold incidence/duration; safe as placebo in large RCTs,Herbal immunomodulator (E. purpurea),science_research.xlsx (internal evidence file - needs_citation)
Echinacea,old/damaged plant material,Reject,Standardised E. purpurea extracts modestly reduce cold incidence/duration; safe as placebo in large RCTs,Herbal immunomodulator (E. purpurea),science_research.xlsx (internal evidence file - needs_citation)
Quercetin,"Phytosome, Glycosylated quercetin (e.g. rutin, isoquercetin)",Superior,Glycoside forms (e.g. isoquercetin) increase water solubility and intestinal uptake,Plant flavonol (antioxidant bioflavonoid),science_research.xlsx (internal evidence file - needs_citation)
Quercetin,micronized quercetin,Superior,Glycoside forms (e.g. isoquercetin) increase water solubility and intestinal uptake,Plant flavonol (antioxidant bioflavonoid),science_research.xlsx (internal evidence file - needs_citation)
Quercetin,Generic quercetin capsules providing 500–1000 mg/day in divided doses for up to ~12 weeks,Acceptable,Glycoside forms (e.g. isoquercetin) increase water solubility and intestinal uptake,Plant flavonol (antioxidant bioflavonoid),science_research.xlsx (internal evidence file - needs_citation)
Quercetin,Low-dose (<100 mg) products with big claims,Reject,Glycoside forms (e.g. isoquercetin) increase water solubility and intestinal uptake,Plant flavonol (antioxidant bioflavonoid),science_research.xlsx (internal evidence file - needs_citation)
Quercetin,"high-dose powders lacking purity, heavy-metal,",Reject,Glycoside forms (e.g. isoquercetin) increase water solubility and intestinal uptake,Plant flavonol (antioxidant bioflavonoid),science_research.xlsx (internal evidence file - needs_citation)
Quercetin,solvent testing,Reject,Glycoside forms (e.g. isoquercetin) increase water solubility and intestinal uptake,Plant flavonol (antioxidant bioflavonoid),science_research.xlsx (internal evidence file - needs_citation)
Manuka Honey,"Monofloral, high-MGO (e.g. UMF®/NPA® certified) raw Manuka honey",Superior,Improves healing of chronic and diabetic wounds,Functional food/medicinal honey,science_research.xlsx (internal evidence file - needs_citation)
Manuka Honey,"Medical honey preparations (e.g. dressings, gels, lozenges) containing Manuka honey",Acceptable,Improves healing of chronic and diabetic wounds,Functional food/medicinal honey,science_research.xlsx (internal evidence file - needs_citation)
Manuka Honey,Adulterated,Reject,Improves healing of chronic and diabetic wounds,Functional food/medicinal honey,science_research.xlsx (internal evidence file - needs_citation)
Manuka Honey,"blended honeys (low MGO), and non-Manuka honeys falsely labeled as Manuka",Reject,Improves healing of chronic and diabetic wounds,Functional food/medicinal honey,science_research.xlsx (internal evidence file - needs_citation)
Lysine,Pure L‑lysine (free base,Superior,L-lysine (free L-form) is readily absorbed and utilized; HCl salt dissolves well in water.,An essential amino acid (L-lysine),science_research.xlsx (internal evidence file - needs_citation)
Lysine,HCl),Superior,L-lysine (free L-form) is readily absorbed and utilized; HCl salt dissolves well in water.,An essential amino acid (L-lysine),science_research.xlsx (internal evidence file - needs_citation)
Lysine,500–1000 mg capsules,Acceptable,L-lysine (free L-form) is readily absorbed and utilized; HCl salt dissolves well in water.,An essential amino acid (L-lysine),science_research.xlsx (internal evidence file - needs_citation)
Lysine,tablets taken 1–3 times daily,Acceptable,L-lysine (free L-form) is readily absorbed and utilized; HCl salt dissolves well in water.,An essential amino acid (L-lysine),science_research.xlsx (internal evidence file - needs_citation)
Lysine,Low-dose (<500 mg/day) products making strong HSV claims,Reject,L-lysine (free L-form) is readily absorbed and utilized; HCl salt dissolves well in water.,An essential amino acid (L-lysine),science_research.xlsx (internal evidence file - needs_citation)
Lysine,blends not stating lysine per dose,Reject,L-lysine (free L-form) is readily absorbed and utilized; HCl salt dissolves well in water.,An essential amino acid (L-lysine),science_research.xlsx (internal evidence file - needs_citation)
Creatine Monohydrate,"Plain, micronised creatine monohydrate with ≥99.9% purity",Superior,Monohydrate has the strongest research backing (more effective muscle uptake),Ergogenic nutrient,science_research.xlsx (internal evidence file - needs_citation)
Creatine Monohydrate,Unflavoured,Acceptable,Monohydrate has the strongest research backing (more effective muscle uptake),Ergogenic nutrient,science_research.xlsx (internal evidence file - needs_citation)
Creatine Monohydrate,simply flavoured creatine monohydrate powders providing 3–5 g/day,Acceptable,Monohydrate has the strongest research backing (more effective muscle uptake),Ergogenic nutrient,science_research.xlsx (internal evidence file - needs_citation)
Creatine Monohydrate,"Proprietary creatine “blends” with under‑dosed monohydrate, unnecessary forms (e.g. ethyl ester)",Reject,Monohydrate has the strongest research backing (more effective muscle uptake),Ergogenic nutrient,science_research.xlsx (internal evidence file - needs_citation)
Vitamin B12,Methylcobalamin,Superior,High‑dose oral B12 normalises serum B12 and improves haematological/neurological parameters,Water-soluble vitamin (cobalamin),science_research.xlsx (internal evidence file - needs_citation)
Vitamin B12,adenosylcobalamin (active coenzyme forms),Superior,High‑dose oral B12 normalises serum B12 and improves haematological/neurological parameters,Water-soluble vitamin (cobalamin),science_research.xlsx (internal evidence file - needs_citation)
Vitamin B12,"Cyanocobalamin (most stable, widely used, effective for deficiency correction in most people). Hydroxocobalamin (injectable form",Acceptable,High‑dose oral B12 normalises serum B12 and improves haematological/neurological parameters,Water-soluble vitamin (cobalamin),science_research.xlsx (internal evidence file - needs_citation)
Vitamin B12,used medically). Methylcobalamin,Acceptable,High‑dose oral B12 normalises serum B12 and improves haematological/neurological parameters,Water-soluble vitamin (cobalamin),science_research.xlsx (internal evidence file - needs_citation)
Vitamin B12,adenosylcobalamin added to multivitamins,Acceptable,High‑dose oral B12 normalises serum B12 and improves haematological/neurological parameters,Water-soluble vitamin (cobalamin),science_research.xlsx (internal evidence file - needs_citation)
Vitamin B12,standalone supplements — acceptable and preferred for MTHFR polymorphisms,Acceptable,High‑dose oral B12 normalises serum B12 and improves haematological/neurological parameters,Water-soluble vitamin (cobalamin),science_research.xlsx (internal evidence file - needs_citation)
Vitamin B12,"Very low‑dose products (<1 µg),",Reject,High‑dose oral B12 normalises serum B12 and improves haematological/neurological parameters,Water-soluble vitamin (cobalamin),science_research.xlsx (internal evidence file - needs_citation)
Vitamin B12,sprays/tablets without reliable B12 content,Reject,High‑dose oral B12 normalises serum B12 and improves haematological/neurological parameters,Water-soluble vitamin (cobalamin),science_research.xlsx (internal evidence file - needs_citation)
Vitamin B12,stability data,Reject,High‑dose oral B12 normalises serum B12 and improves haematological/neurological parameters,Water-soluble vitamin (cobalamin),science_research.xlsx (internal evidence file - needs_citation)
Whey Protein,"Whey isolates/concentrates with high protein (≥80%), low sugar/fat, minimal fillers",Superior,"Whey boosts muscle protein synthesis faster than collagen/others; with training, increases lean mass and strength in RCTs",Dairy protein rich in essential amino acids,science_research.xlsx (internal evidence file - needs_citation)
Whey Protein,Generic whey concentrate (~70–80% protein) powders,Acceptable,"Whey boosts muscle protein synthesis faster than collagen/others; with training, increases lean mass and strength in RCTs",Dairy protein rich in essential amino acids,science_research.xlsx (internal evidence file - needs_citation)
Whey Protein,“Whey” blends under-dosed in whey,Reject,"Whey boosts muscle protein synthesis faster than collagen/others; with training, increases lean mass and strength in RCTs",Dairy protein rich in essential amino acids,science_research.xlsx (internal evidence file - needs_citation)
Whey Protein,"padded with cheap carbs, low-grade collagen,",Reject,"Whey boosts muscle protein synthesis faster than collagen/others; with training, increases lean mass and strength in RCTs",Dairy protein rich in essential amino acids,science_research.xlsx (internal evidence file - needs_citation)
Whey Protein,undisclosed proteins,Reject,"Whey boosts muscle protein synthesis faster than collagen/others; with training, increases lean mass and strength in RCTs",Dairy protein rich in essential amino acids,science_research.xlsx (internal evidence file - needs_citation)
Rhodiola Rosea,Standardised Rhodiola rosea root extract (e.g. SHR‑5) with defined rosavins and salidroside content,Superior,Standardised SHR‑5 extract significantly improved stress‑related fatigue and mild–moderate depression,Botanical/herbal adaptogen,science_research.xlsx (internal evidence file - needs_citation)
Rhodiola Rosea,Generic Rhodiola rosea root extracts with declared standardisation and doses in the 200–600 mg/day range,Acceptable,Standardised SHR‑5 extract significantly improved stress‑related fatigue and mild–moderate depression,Botanical/herbal adaptogen,science_research.xlsx (internal evidence file - needs_citation)
Rhodiola Rosea,"Non‑standardised “Rhodiola blend” powders, products not specifying species/root,",Reject,Standardised SHR‑5 extract significantly improved stress‑related fatigue and mild–moderate depression,Botanical/herbal adaptogen,science_research.xlsx (internal evidence file - needs_citation)
Rhodiola Rosea,very low‑dose formulas big stress/depression claims,Reject,Standardised SHR‑5 extract significantly improved stress‑related fatigue and mild–moderate depression,Botanical/herbal adaptogen,science_research.xlsx (internal evidence file - needs_citation)
HMB,"HMB Free Acid (HMB-FA, β-hydroxy β-methylbutyric acid monohydrate): fastest absorption and highest plasma peak. Calcium HMB (Ca-HMB): most studied form in RCTs, slower release. HMB-FA is superior in acute bioavailability",Superior,HMB-FA has better bioavailability and faster plasma peak than CaHMB,Amino‑acid metabolite (from leucine),science_research.xlsx (internal evidence file - needs_citation)
HMB,Ca-HMB has longer evidence base. Both are acceptable at 3 g/day total,Superior,HMB-FA has better bioavailability and faster plasma peak than CaHMB,Amino‑acid metabolite (from leucine),science_research.xlsx (internal evidence file - needs_citation)
HMB,HMB included in mixed formulas (e.g. HMB + protein + vitamin D) providing ~1.5–3 g/day HMB,Acceptable,HMB-FA has better bioavailability and faster plasma peak than CaHMB,Amino‑acid metabolite (from leucine),science_research.xlsx (internal evidence file - needs_citation)
HMB,Proprietary “HMB blends” that under‑dose HMB (<1 g/day),Reject,HMB-FA has better bioavailability and faster plasma peak than CaHMB,Amino‑acid metabolite (from leucine),science_research.xlsx (internal evidence file - needs_citation)
Inositol,Myo-inositol (MI),Superior,"Inositols (mainly MI) improve menstrual regularity, androgens, insulin resistance and BMI",Vitamin-like polyol (formerly Vitamin B8),science_research.xlsx (internal evidence file - needs_citation)
