supplement,drug,severity,mechanism,management
Magnesium Citrate,Quetiapine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Quinine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Raltegravir,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ranolazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ribociclib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Romidepsin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Sarecycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Sarecycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Selpercatinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Sertraline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Sevoflurane,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Siponimod,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Sodium bicarbonate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Solifenacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Sorafenib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Sotalol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Sunitinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Telavancin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Telithromycin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Tetrabenazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Toremifene,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Torasemide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Triamterene,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Triclabendazole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Valbenazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Vandetanib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Vemurafenib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Venlafaxine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Voriconazole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ziprasidone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Entacapone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Entrectinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Enzalutamide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Erdafitinib,Major,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ergocalciferol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Eribulin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Escitalopram,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Etacrynic acid,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Etidronic acid,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Etidronic acid,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ezogabine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Calcium carbonate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Ferric carboxymaltose,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Ferric derisomaltose,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Sodium ferric gluconate complex,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Ferumoxytol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Flecainide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Fluconazole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Fluphenazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Flutamide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Foscarnet,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Fostemsavir,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Furosemide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Gemifloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Gemifloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Gilteritinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Glasdegib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Goserelin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Granisetron,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Haloperidol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Histrelin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Hydroxychloroquine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Hydroxyzine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ibutilide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Iloperidone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Indapamide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Bedaquiline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Chlorpromazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Demeclocycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Demeclocycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Cinoxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Enoxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Gallium chloride Ga-67,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Gatifloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Grepafloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Lomefloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Magaldrate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Magnesium carbonate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Magnesium hydroxide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Nalidixic acid,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Oxytetracycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Saw palmetto,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Sparfloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
St. John's Wort,Iron,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Tiludronic acid,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Trovafloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Vitamin E,Iron,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Zinc gluconate,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Saw Palmetto,Ferrous fumarate,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
St. John's Wort,Ferrous fumarate,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Vitamin E,Ferrous fumarate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Saw Palmetto,Ferrous gluconate,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
St. John's Wort,Ferrous gluconate,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Vitamin E,Ferrous gluconate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Aluminum hydroxide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Fludeoxyglucose (18F),Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Gatifloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Irinotecan (liposomal),Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Abarelix,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Astemizole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Bendroflumethiazide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Benzthiazide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Bepridil,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Cinoxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Cisapride,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Dihydrotachysterol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Enoxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Grepafloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Halofantrine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Hydroflumethiazide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Levacetylmethadol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Lomefloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Mesoridazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Methotrimeprazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Nalidixic acid,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Oxytetracycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Perphenazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Polythiazide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Primaquine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Probucol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Promazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Quinidine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Relugolix,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Sparfloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Terbutaline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Terfenadine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Thioridazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Tiludronic acid,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Trichlormethiazide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Trifluoperazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Triflupromazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Alimemazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Trovafloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Urea,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
